VIN,MODEL_YEAR,FACTORY_CODE,MODEL_NAME,DAYS_TO_FAIL_MINZERO,MILES_TO_FAIL,RO_DATE,CUST_RO_STATE_CD,CLM_SK,VIN_SK
2HGFA16518H305578,2008,HCM,CIVIC,336,18246,1/19/2009,TX,48585953,27313906
2HGFA16518H308786,2008,HCM,CIVIC,1009,27248,8/28/2010,NY,54841051,27458119
2HGFA16518H311994,2008,HCM,CIVIC,540,15512,6/15/2009,CA,49920873,27646395
2HGFA16518H316550,2008,HCM,CIVIC,1006,37828,11/17/2010,NY,55809133,27864153
2HGFA16518H317102,2008,HCM,CIVIC,767,24593,3/29/2010,GA,52674255,27872725
2HGFA16518H318850,2008,HCM,CIVIC,1363,80063,12/8/2011,FL,62078980,27929115
2HGFA16518H321800,2008,HCM,CIVIC,983,25955,11/26/2010,FL,55920511,28100141
2HGFA16518H325829,2008,HCM,CIVIC,1105,42054,5/10/2011,AZ,57852330,28242167
2HGFA16518H326415,2008,HCM,CIVIC,568,15991,10/28/2009,FL,51295734,28266913
2HGFA16518H327967,2008,HCM,CIVIC,379,19747,8/25/2009,HI,50558056,28295945
2HGFA16518H328004,2008,HCM,CIVIC,68,4146,9/30/2008,DE,47258781,28299348
2HGFA16518H328651,2008,HCM,CIVIC,650,16040,2/5/2010,FL,52187518,28309659
2HGFA16518H331579,2008,HCM,CIVIC,437,21817,9/17/2009,TX,51009241,28372763
2HGFA16518H335020,2008,HCM,CIVIC,156,17514,11/3/2008,IL,47617254,28465795
2HGFA16518H335308,2008,HCM,CIVIC,124,8811,9/24/2008,GA,47101397,28477389
2HGFA16518H335695,2008,HCM,CIVIC,547,20445,11/23/2009,FL,51535489,28490558
2HGFA16518H336071,2008,HCM,CIVIC,1164,34717,8/8/2011,AL,58881341,28490596
2HGFA16518H337463,2008,HCM,CIVIC,524,35283,11/14/2009,AZ,51449024,28525679
2HGFA16518H338354,2008,HCM,CIVIC,470,14852,9/29/2009,NJ,50939071,28545771
2HGFA16518H339035,2008,HCM,CIVIC,1116,59540,7/12/2011,FL,58548826,28562100
2HGFA16518H339388,2008,HCM,CIVIC,705,26382,5/24/2010,FL,53457860,28570007
2HGFA16518H339505,2008,HCM,CIVIC,428,18575,10/19/2009,WA,51196673,28578463
2HGFA16518H339794,2008,HCM,CIVIC,669,37089,4/21/2010,TX,52935860,28585379
2HGFA16518H340928,2008,HCM,CIVIC,292,16701,4/18/2009,CA,49458196,28630931
2HGFA16518H343425,2008,HCM,CIVIC,1180,24612,10/21/2011,IA,61291506,28686661
2HGFA16518H343506,2008,HCM,CIVIC,801,32057,10/23/2010,CA,55449159,28686667
2HGFA16518H344459,2008,HCM,CIVIC,971,49085,3/7/2011,TX,57133339,28709534
2HGFA16518H350147,2008,HCM,CIVIC,825,32373,11/16/2010,FL,55786676,28842305
2HGFA16518H350181,2008,HCM,CIVIC,402,8873,9/29/2009,MS,50992059,28842308
2HGFA16518H353100,2008,HCM,CIVIC,719,33534,9/8/2010,MS,54919267,28907316
2HGFA16518H503769,2008,HCM,CIVIC,1149,75023,12/23/2010,FL,56183797,27172084
2HGFA16518H507921,2008,HCM,CIVIC,987,32837,8/24/2010,FL,54791341,27359400
2HGFA16518H515677,2008,HCM,CIVIC,1253,48530,8/30/2011,TX,59231439,27946434
2HGFA16518H516456,2008,HCM,CIVIC,1351,60302,11/30/2011,TX,61739720,28037573
2HGFA16518H517042,2008,HCM,CIVIC,851,32965,7/26/2010,CA,54438882,28113395
2HGFA16518H517249,2008,HCM,CIVIC,921,38800,10/8/2010,FL,55267334,28130440
2HGFA16518H520961,2008,HCM,CIVIC,71,3899,9/3/2008,MT,46880712,28272514
2HGFA16518H521785,2008,HCM,CIVIC,944,31116,1/11/2011,TX,56427867,28321549
2HGFA16518H523925,2008,HCM,CIVIC,538,11233,11/6/2009,CA,51378313,28418332
2HGFA16518H528848,2008,HCM,CIVIC,610,35983,2/25/2010,AL,52421760,28622163
2HGFA16518H529658,2008,HCM,CIVIC,1031,69086,6/27/2011,TX,58395193,28657311
2HGFA16518H529756,2008,HCM,CIVIC,562,46500,1/18/2010,AZ,52010237,28662713
2HGFA16518H531684,2008,HCM,CIVIC,535,29992,6/7/2010,FL,53690140,28742335
2HGFA16519H302097,2009,HCM,CIVIC,488,31342,1/28/2010,FL,52132016,29025514
2HGFA16519H302231,2009,HCM,CIVIC,989,26593,6/11/2011,TX,58145262,29032886
2HGFA16519H302763,2009,HCM,CIVIC,1068,54309,8/29/2011,TX,59214822,29039359
2HGFA16519H303637,2009,HCM,CIVIC,806,36707,12/17/2010,GA,56155030,29053648
2HGFA16519H303718,2009,HCM,CIVIC,380,11599,9/13/2010,FL,54983452,29053654
2HGFA16519H303766,2009,HCM,CIVIC,939,25560,5/3/2011,OR,57850157,29053627
2HGFA16519H304755,2009,HCM,CIVIC,377,23210,10/9/2009,NV,51221697,29069616
2HGFA16519H308014,2009,HCM,CIVIC,453,18553,2/1/2010,IN,52173716,29117123
2HGFA16519H308790,2009,HCM,CIVIC,1154,26414,12/26/2011,FL,62074681,29123553
2HGFA16519H313164,2009,HCM,CIVIC,947,23642,6/15/2011,OK,58176409,29191807
2HGFA16519H314010,2009,HCM,CIVIC,1131,54098,11/30/2011,FL,61505037,29206592
2HGFA16519H315089,2009,HCM,CIVIC,738,30036,1/18/2011,AZ,56495114,29224907
2HGFA16519H319496,2009,HCM,CIVIC,1020,26044,10/12/2011,CA,60698745,29284119
2HGFA16519H324147,2009,HCM,CIVIC,371,11540,2/13/2010,CT,52356568,29369382
2HGFA16519H326870,2009,HCM,CIVIC,765,10077,6/13/2011,TX,58186473,29387625
2HGFA16519H337044,2009,HCM,CIVIC,322,14030,12/18/2009,FL,51773251,29527750
2HGFA16519H340316,2009,HCM,CIVIC,845,41239,11/21/2011,GA,61300463,29601079
2HGFA16519H341501,2009,HCM,CIVIC,975,37199,10/10/2011,FL,60472691,29617197
2HGFA16519H352949,2009,HCM,CIVIC,946,28951,12/28/2011,IL,62029868,29815887
2HGFA16519H358394,2009,HCM,CIVIC,899,28330,12/5/2011,AL,61801472,29918540
2HGFA16519H359187,2009,HCM,CIVIC,602,33260,4/6/2011,GA,57498071,29937009
2HGFA16519H359769,2009,HCM,CIVIC,712,17014,5/19/2011,TX,57922409,29945846
2HGFA16519H360498,2009,HCM,CIVIC,470,12341,10/30/2010,FL,55664304,29967626
2HGFA16519H361084,2009,HCM,CIVIC,397,14417,8/17/2010,VA,54789519,29985925
2HGFA16519H361487,2009,HCM,CIVIC,787,26070,9/30/2011,FL,60155224,30040676
2HGFA16519H362395,2009,HCM,CIVIC,677,29829,6/6/2011,CA,58194210,30088898
2HGFA16519H362851,2009,HCM,CIVIC,354,16564,7/23/2010,GA,54432167,30109281
2HGFA16519H364826,2009,HCM,CIVIC,764,31381,9/6/2011,FL,59279217,30174424
2HGFA16519H502347,2009,HCM,CIVIC,1052,46148,9/22/2011,TX,59836320,29074672
2HGFA16519H504423,2009,HCM,CIVIC,643,23900,11/18/2010,OH,55810448,29154035
2HGFA16519H519987,2009,HCM,CIVIC,801,12536,8/2/2011,NY,58806635,29899349
2HGFA16519H520198,2009,HCM,CIVIC,796,35214,8/15/2011,NC,58948531,29899290
2HGFA16519H526888,2009,HCM,CIVIC,769,24431,8/19/2011,FL,59111732,29985881
2HGFA16519H534876,2009,HCM,CIVIC,768,34037,9/24/2011,FL,59657299,30124501
2HGFA16519H535123,2009,HCM,CIVIC,729,27391,8/2/2011,VA,58846150,30134872
2HGFA16519H537325,2009,HCM,CIVIC,877,32298,12/30/2011,FL,62074900,30164399
2HGFA16519H542265,2009,HCM,CIVIC,706,30857,9/9/2011,NJ,59553903,30233157
2HGFA16519H542864,2009,HCM,CIVIC,822,31592,12/5/2011,TX,61603277,30242906
2HGFA16519H544761,2009,HCM,CIVIC,845,21738,12/27/2011,GA,62077669,30260385
2HGFA16519H545571,2009,HCM,CIVIC,860,28330,1/25/2012,FL,62496700,30269981
2HGFA16519H545960,2009,HCM,CIVIC,691,27539,7/29/2011,FL,58710525,30279999
2HGFA16528H303645,2008,HCM,CIVIC,944,32511,7/1/2010,GA,54158089,27142462
2HGFA16528H305055,2008,HCM,CIVIC,372,32256,11/5/2008,ME,47742249,27281326
2HGFA16528H312734,2008,HCM,CIVIC,1383,40370,10/21/2011,FL,61297194,27737706
2HGFA16528H313950,2008,HCM,CIVIC,1064,63172,12/18/2010,TX,56332813,27782863
2HGFA16528H317979,2008,HCM,CIVIC,1362,32104,11/23/2011,GA,61411191,27893810
2HGFA16528H330635,2008,HCM,CIVIC,557,18400,11/25/2009,TX,51598773,28355220
2HGFA16528H334913,2008,HCM,CIVIC,1113,98333,6/22/2011,CA,58481839,28456008
2HGFA16528H335317,2008,HCM,CIVIC,489,26086,9/28/2009,PA,50990428,28477407
2HGFA16528H336516,2008,HCM,CIVIC,468,9672,9/21/2009,AZ,50853013,28496122
2HGFA16528H336659,2008,HCM,CIVIC,1091,27074,8/1/2011,HI,58751660,28525701
2HGFA16528H337309,2008,HCM,CIVIC,551,9540,12/9/2009,AZ,51662508,28519773
2HGFA16528H341019,2008,HCM,CIVIC,946,35839,2/3/2011,NY,56736010,28622205
2HGFA16528H341621,2008,HCM,CIVIC,527,35329,12/4/2009,AL,51637639,28636731
2HGFA16528H342543,2008,HCM,CIVIC,885,25094,12/7/2010,NY,55984824,28662742
